,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year
96,04/10/2000 20:15:00,04/10/2000 23:15:00,0.45,04/10/2000,36,,180,0.1125,0
97,04/11/2000 01:20:00,04/11/2000 01:40:00,1.11,04/11/2000,4,,20,0.2775,0
98,04/11/2000 04:20:00,04/11/2000 05:30:00,0.06,04/11/2000,14,,70,0.015,0
99,04/11/2000 07:35:00,04/11/2000 09:40:00,0.89,04/11/2000,25,,125,0.2225,0
100,04/12/2000 01:30:00,04/12/2000 03:05:00,0.06,04/12/2000,19,,95,0.015,0
101,04/16/2000 20:40:00,04/16/2000 20:50:00,0.17,04/16/2000,2,,10,0.0425,0
102,04/17/2000 07:35:00,04/17/2000 12:00:00,25.02,04/17/2000,53,,265,6.255,0
103,04/17/2000 14:25:00,04/17/2000 14:55:00,0.31,04/17/2000,6,,30,0.0775,0
104,04/17/2000 22:35:00,04/17/2000 22:50:00,0.66,04/17/2000,3,,15,0.165,0
105,04/18/2000 00:50:00,04/18/2000 06:15:00,23.78,04/18/2000,65,,325,5.945,0
106,04/18/2000 08:35:00,04/18/2000 08:50:00,0.26,04/18/2000,3,,15,0.065,0
107,04/18/2000 12:15:00,04/18/2000 12:45:00,0.77,04/18/2000,6,,30,0.1925,0
108,04/18/2000 16:30:00,04/18/2000 16:35:00,0.07,04/18/2000,1,,5,0.0175,0
109,04/18/2000 20:55:00,04/18/2000 21:00:00,0.03,04/18/2000,1,,5,0.0075,0
110,04/19/2000 08:45:00,04/19/2000 09:05:00,0.66,04/19/2000,4,,20,0.165,0
111,04/19/2000 17:10:00,04/19/2000 18:20:00,4.03,04/19/2000,14,,70,1.0075,0
112,04/20/2000 10:10:00,04/20/2000 13:55:00,28.77,04/20/2000,45,,225,7.1925,0
113,04/20/2000 16:25:00,04/20/2000 21:05:00,4.21,04/20/2000,56,,280,1.0525,0
114,04/21/2000 19:15:00,04/21/2000 23:45:00,10.07,04/21/2000,54,,270,2.5175,0
115,04/22/2000 08:40:00,04/23/2000 06:40:00,29.96,04/22/2000,264,,1320,7.49,0
116,04/23/2000 12:00:00,04/23/2000 13:25:00,0.5,04/23/2000,17,,85,0.125,0
117,04/23/2000 22:45:00,04/24/2000 00:30:00,0.06,04/23/2000,21,,105,0.015,0
118,04/25/2000 09:10:00,04/25/2000 09:15:00,0.03,04/25/2000,1,,5,0.0075,0
119,04/28/2000 16:35:00,04/28/2000 17:05:00,0.77,04/28/2000,6,,30,0.1925,0
120,04/29/2000 08:00:00,04/29/2000 08:15:00,0.11,04/29/2000,3,,15,0.0275,0
121,04/29/2000 17:35:00,04/30/2000 03:00:00,6.56,04/29/2000,113,,565,1.64,0
122,04/30/2000 06:45:00,04/30/2000 21:15:00,16.19,04/30/2000,174,,870,4.0475,0
123,05/01/2000 00:30:00,05/01/2000 10:30:00,5.97,05/01/2000,120,,600,1.4925,0
124,05/03/2000 13:35:00,05/03/2000 21:05:00,5.47,05/03/2000,90,,450,1.3675,0
125,05/04/2000 19:30:00,05/04/2000 19:40:00,0.19,05/04/2000,2,,10,0.0475,0
126,05/05/2000 08:15:00,05/05/2000 08:20:00,0.03,05/05/2000,1,,5,0.0075,0
127,05/05/2000 11:25:00,05/05/2000 11:55:00,0.37,05/05/2000,6,,30,0.0925,0
128,05/05/2000 16:40:00,05/05/2000 17:00:00,1.02,05/05/2000,4,,20,0.255,0
129,05/06/2000 10:10:00,05/06/2000 17:10:00,3.38,05/06/2000,84,,420,0.845,0
130,05/06/2000 19:20:00,05/06/2000 19:50:00,0.07,05/06/2000,6,,30,0.0175,0
131,05/08/2000 09:00:00,05/08/2000 21:10:00,60.83,05/08/2000,146,,730,15.2075,0
132,05/08/2000 23:20:00,05/09/2000 22:10:00,16.45,05/08/2000,274,,1370,4.1125,0
133,05/10/2000 11:05:00,05/11/2000 03:50:00,36.48,05/10/2000,201,,1005,9.12,0
134,05/11/2000 10:30:00,05/11/2000 11:40:00,0.7,05/11/2000,14,,70,0.175,0
135,05/11/2000 14:25:00,05/11/2000 20:35:00,1.2,05/11/2000,74,,370,0.3,0
136,05/24/2000 11:25:00,05/24/2000 15:35:00,1.93,05/24/2000,50,,250,0.4825,0
137,05/24/2000 19:10:00,05/24/2000 20:20:00,0.66,05/24/2000,14,,70,0.165,0
138,05/24/2000 23:50:00,05/25/2000 04:15:00,8.7,05/24/2000,53,,265,2.175,0
139,05/25/2000 06:50:00,05/25/2000 12:30:00,2.26,05/25/2000,68,,340,0.565,0
140,05/25/2000 22:45:00,05/26/2000 06:15:00,16.97,05/25/2000,90,,450,4.2425,0
141,05/26/2000 08:50:00,05/26/2000 10:05:00,0.14,05/26/2000,15,,75,0.035,0
142,05/26/2000 21:25:00,05/27/2000 00:00:00,0.6,05/26/2000,31,,155,0.15,0
143,05/27/2000 04:30:00,05/27/2000 04:50:00,1.24,05/27/2000,4,,20,0.31,0
144,05/27/2000 07:05:00,05/27/2000 07:10:00,0.04,05/27/2000,1,,5,0.01,0
145,05/27/2000 09:15:00,05/27/2000 10:00:00,3.9,05/27/2000,9,,45,0.975,0
146,05/27/2000 16:05:00,05/27/2000 18:40:00,2.67,05/27/2000,31,,155,0.6675,0
147,05/28/2000 15:20:00,05/28/2000 18:10:00,2.79,05/28/2000,34,,170,0.6975,0
148,05/29/2000 05:45:00,05/29/2000 09:55:00,1.6,05/29/2000,50,,250,0.4,0
149,05/29/2000 14:00:00,05/29/2000 18:00:00,4.05,05/29/2000,48,,240,1.0125,0
150,05/30/2000 03:55:00,05/30/2000 08:05:00,24.27,05/30/2000,50,,250,6.0675,0
151,05/30/2000 19:30:00,05/30/2000 23:50:00,50.44,05/30/2000,52,,260,12.61,0
