,Start,End,Date,Duration,Precipitation
98,03/13/2000 14:25:00,03/13/2000 23:20:00,03/13/2000,535.0,6.0175
99,03/18/2000 22:25:00,03/19/2000 00:35:00,03/18/2000,130.0,1.9500000000000002
100,03/19/2000 03:25:00,03/19/2000 03:50:00,03/19/2000,25.0,0.15500000000000003
101,03/19/2000 09:15:00,03/19/2000 15:30:00,03/19/2000,375.0,6.1850000000000005
102,03/19/2000 17:55:00,03/19/2000 22:05:00,03/19/2000,250.0,0.3975000000000001
103,03/20/2000 04:20:00,03/20/2000 04:45:00,03/20/2000,25.0,0.08750000000000001
104,03/20/2000 07:45:00,03/20/2000 09:05:00,03/20/2000,80.0,0.4375
105,03/21/2000 05:05:00,03/21/2000 08:00:00,03/21/2000,175.0,0.0225
106,03/21/2000 15:45:00,03/21/2000 15:45:00,03/21/2000,0.0,0.0075
107,03/22/2000 06:10:00,03/22/2000 06:10:00,03/22/2000,0.0,0.0075
108,03/22/2000 15:55:00,03/22/2000 18:10:00,03/22/2000,135.0,1.8925
109,03/23/2000 11:10:00,03/23/2000 15:40:00,03/23/2000,270.0,2.7825
110,03/23/2000 20:05:00,03/23/2000 22:30:00,03/23/2000,145.0,0.5449999999999999
111,03/27/2000 12:15:00,03/28/2000 03:00:00,03/27/2000,885.0,2.22
112,04/05/2000 11:55:00,04/05/2000 13:35:00,04/05/2000,100.0,0.05
113,04/05/2000 17:20:00,04/05/2000 20:00:00,04/05/2000,160.0,0.0625
114,04/06/2000 00:15:00,04/06/2000 05:45:00,04/06/2000,330.0,0.06999999999999999
115,04/06/2000 15:35:00,04/06/2000 19:15:00,04/06/2000,220.0,0.28500000000000003
116,04/07/2000 11:15:00,04/07/2000 15:15:00,04/07/2000,240.0,0.13
117,04/07/2000 17:35:00,04/08/2000 00:30:00,04/07/2000,415.0,0.725
118,04/08/2000 07:20:00,04/08/2000 17:15:00,04/08/2000,595.0,1.34
119,04/08/2000 23:30:00,04/09/2000 11:05:00,04/08/2000,695.0,1.5149999999999997
120,04/10/2000 03:10:00,04/10/2000 10:35:00,04/10/2000,445.0,6.215
121,04/10/2000 14:55:00,04/10/2000 17:25:00,04/10/2000,150.0,1.3475
122,04/10/2000 20:15:00,04/10/2000 23:15:00,04/10/2000,180.0,0.12
123,04/11/2000 01:20:00,04/11/2000 01:40:00,04/11/2000,20.0,0.3025
124,04/11/2000 04:20:00,04/11/2000 05:30:00,04/11/2000,70.0,0.0225
125,04/11/2000 07:35:00,04/11/2000 09:40:00,04/11/2000,125.0,0.24000000000000002
126,04/12/2000 01:30:00,04/12/2000 03:05:00,04/12/2000,95.0,0.0225
127,04/12/2000 09:35:00,04/12/2000 09:35:00,04/12/2000,0.0,0.0075
128,04/16/2000 20:40:00,04/16/2000 20:50:00,04/16/2000,10.0,0.0625
129,04/17/2000 07:35:00,04/17/2000 12:00:00,04/17/2000,265.0,6.2700000000000005
130,04/17/2000 14:25:00,04/17/2000 14:55:00,04/17/2000,30.0,0.0925
131,04/17/2000 22:35:00,04/18/2000 06:15:00,04/17/2000,460.0,6.135
132,04/18/2000 08:35:00,04/18/2000 08:50:00,04/18/2000,15.0,0.0825
133,04/18/2000 12:15:00,04/18/2000 12:45:00,04/18/2000,30.0,0.20250000000000004
134,04/18/2000 16:30:00,04/18/2000 16:35:00,04/18/2000,5.0,0.025
135,04/18/2000 20:55:00,04/18/2000 21:00:00,04/18/2000,5.0,0.0175
136,04/19/2000 04:50:00,04/19/2000 04:50:00,04/19/2000,0.0,0.0075
137,04/19/2000 08:45:00,04/19/2000 09:05:00,04/19/2000,20.0,0.17250000000000001
138,04/19/2000 17:10:00,04/19/2000 18:20:00,04/19/2000,70.0,1.0150000000000001
139,04/20/2000 10:10:00,04/20/2000 13:55:00,04/20/2000,225.0,7.210000000000001
140,04/20/2000 16:25:00,04/20/2000 21:05:00,04/20/2000,280.0,1.06
141,04/21/2000 19:15:00,04/21/2000 23:45:00,04/21/2000,270.0,2.525
142,04/22/2000 08:40:00,04/23/2000 06:40:00,04/22/2000,1320.0,7.497500000000001
143,04/23/2000 12:00:00,04/23/2000 13:25:00,04/23/2000,85.0,0.1325
144,04/23/2000 22:45:00,04/24/2000 00:30:00,04/23/2000,105.0,0.04
145,04/25/2000 09:10:00,04/25/2000 09:15:00,04/25/2000,5.0,0.015
146,04/28/2000 16:35:00,04/28/2000 17:05:00,04/28/2000,30.0,0.2
147,04/29/2000 08:00:00,04/29/2000 08:15:00,04/29/2000,15.0,0.07500000000000001
148,04/29/2000 17:35:00,04/30/2000 03:00:00,04/29/2000,565.0,1.6475
149,04/30/2000 06:45:00,04/30/2000 21:15:00,04/30/2000,870.0,4.0625
150,05/01/2000 00:30:00,05/01/2000 10:30:00,05/01/2000,600.0,1.5250000000000001
151,05/03/2000 13:35:00,05/03/2000 21:05:00,05/03/2000,450.0,1.3749999999999998
152,05/04/2000 19:30:00,05/04/2000 19:40:00,05/04/2000,10.0,0.055
153,05/05/2000 08:15:00,05/05/2000 08:20:00,05/05/2000,5.0,0.015
154,05/05/2000 11:25:00,05/05/2000 11:55:00,05/05/2000,30.0,0.1
155,05/05/2000 16:40:00,05/05/2000 17:00:00,05/05/2000,20.0,0.26249999999999996
156,05/06/2000 10:10:00,05/06/2000 17:10:00,05/06/2000,420.0,0.8600000000000001
157,05/06/2000 19:20:00,05/06/2000 19:50:00,05/06/2000,30.0,0.025
158,05/08/2000 09:00:00,05/08/2000 21:10:00,05/08/2000,730.0,15.215
159,05/08/2000 23:20:00,05/09/2000 22:10:00,05/08/2000,1370.0,4.1274999999999995
160,05/10/2000 11:05:00,05/11/2000 03:50:00,05/10/2000,1005.0,9.1275
161,05/11/2000 10:30:00,05/11/2000 11:40:00,05/11/2000,70.0,0.18
162,05/11/2000 14:25:00,05/11/2000 20:35:00,05/11/2000,370.0,0.31500000000000006
163,05/24/2000 11:25:00,05/24/2000 15:35:00,05/24/2000,250.0,0.49
164,05/24/2000 19:10:00,05/24/2000 20:20:00,05/24/2000,70.0,0.18
165,05/24/2000 23:50:00,05/25/2000 04:15:00,05/24/2000,265.0,2.1825
166,05/25/2000 06:50:00,05/25/2000 12:30:00,05/25/2000,340.0,0.5750000000000001
167,05/25/2000 22:45:00,05/26/2000 06:15:00,05/25/2000,450.0,4.25
168,05/26/2000 08:50:00,05/26/2000 10:05:00,05/26/2000,75.0,0.042499999999999996
169,05/26/2000 21:25:00,05/27/2000 00:00:00,05/26/2000,155.0,0.1575
170,05/27/2000 04:30:00,05/27/2000 04:50:00,05/27/2000,20.0,0.3175
171,05/27/2000 07:05:00,05/27/2000 07:10:00,05/27/2000,5.0,0.0175
172,05/27/2000 09:15:00,05/27/2000 10:00:00,05/27/2000,45.0,0.99
173,05/27/2000 16:05:00,05/27/2000 18:40:00,05/27/2000,155.0,0.675
174,05/28/2000 15:20:00,05/28/2000 18:10:00,05/28/2000,170.0,0.705
175,05/29/2000 05:45:00,05/29/2000 09:55:00,05/29/2000,250.0,0.4125000000000001
176,05/29/2000 14:00:00,05/29/2000 18:00:00,05/29/2000,240.0,1.02
177,05/30/2000 03:55:00,05/30/2000 08:05:00,05/30/2000,250.0,6.0825000000000005
178,05/30/2000 19:30:00,05/30/2000 23:50:00,05/30/2000,260.0,12.6175
179,05/31/2000 02:05:00,05/31/2000 05:20:00,05/31/2000,195.0,0.8
180,05/31/2000 08:35:00,05/31/2000 20:50:00,05/31/2000,735.0,3.445
181,06/01/2000 00:20:00,06/01/2000 00:30:00,06/01/2000,10.0,0.0325
182,06/01/2000 05:55:00,06/01/2000 09:05:00,06/01/2000,190.0,0.375
183,06/01/2000 12:40:00,06/01/2000 15:15:00,06/01/2000,155.0,2.4025
184,06/02/2000 04:05:00,06/02/2000 04:15:00,06/02/2000,10.0,0.03
185,06/02/2000 11:00:00,06/02/2000 13:15:00,06/02/2000,135.0,0.8475000000000001
186,06/03/2000 05:10:00,06/03/2000 05:45:00,06/03/2000,35.0,2.2575
187,06/03/2000 19:30:00,06/03/2000 20:35:00,06/03/2000,65.0,0.0775
188,06/04/2000 15:45:00,06/04/2000 16:45:00,06/04/2000,60.0,0.10750000000000001
189,06/05/2000 14:55:00,06/05/2000 15:00:00,06/05/2000,5.0,0.030000000000000002
190,06/08/2000 17:20:00,06/08/2000 21:20:00,06/08/2000,240.0,1.6900000000000002
191,06/11/2000 21:55:00,06/12/2000 07:05:00,06/11/2000,550.0,2.9925
192,06/12/2000 10:15:00,06/12/2000 12:45:00,06/12/2000,150.0,0.8099999999999999
193,06/13/2000 06:25:00,06/13/2000 10:00:00,06/13/2000,215.0,0.27
194,06/13/2000 20:25:00,06/14/2000 06:35:00,06/13/2000,610.0,6.945000000000001
195,06/14/2000 17:45:00,06/14/2000 20:20:00,06/14/2000,155.0,0.35500000000000004
196,06/15/2000 20:30:00,06/15/2000 22:55:00,06/15/2000,145.0,1.3175
197,06/16/2000 01:35:00,06/16/2000 06:55:00,06/16/2000,320.0,2.0625
198,06/16/2000 09:00:00,06/16/2000 11:05:00,06/16/2000,125.0,1.8525
199,06/17/2000 08:05:00,06/17/2000 08:50:00,06/17/2000,45.0,0.32
200,06/17/2000 11:25:00,06/17/2000 11:55:00,06/17/2000,30.0,0.125
201,06/17/2000 15:05:00,06/17/2000 15:50:00,06/17/2000,45.0,0.3025
202,06/21/2000 21:00:00,06/22/2000 01:35:00,06/21/2000,275.0,2.4925
203,06/24/2000 06:20:00,06/24/2000 06:55:00,06/24/2000,35.0,0.03
204,06/25/2000 18:20:00,06/26/2000 02:25:00,06/25/2000,485.0,22.4225
205,06/26/2000 07:15:00,06/26/2000 15:05:00,06/26/2000,470.0,1.0575
206,06/26/2000 20:25:00,06/26/2000 22:20:00,06/26/2000,115.0,0.44250000000000006
207,06/29/2000 12:05:00,06/30/2000 02:40:00,06/29/2000,875.0,5.1875
208,06/30/2000 09:45:00,06/30/2000 19:40:00,06/30/2000,595.0,6.725
209,07/01/2000 12:30:00,07/01/2000 21:40:00,07/01/2000,550.0,4.8025
210,07/02/2000 03:55:00,07/02/2000 05:05:00,07/02/2000,70.0,0.8875000000000002
211,07/09/2000 17:20:00,07/09/2000 23:30:00,07/09/2000,370.0,3.0
212,07/12/2000 19:25:00,07/12/2000 19:50:00,07/12/2000,25.0,0.037500000000000006
213,07/12/2000 22:55:00,07/12/2000 22:55:00,07/12/2000,0.0,0.0075
214,07/13/2000 12:05:00,07/13/2000 14:10:00,07/13/2000,125.0,1.07
215,07/13/2000 18:15:00,07/13/2000 20:00:00,07/13/2000,105.0,2.64
216,07/14/2000 06:50:00,07/14/2000 12:05:00,07/14/2000,315.0,0.8049999999999999
217,07/16/2000 00:00:00,07/16/2000 00:15:00,07/16/2000,15.0,0.12000000000000001
218,07/16/2000 03:05:00,07/16/2000 03:20:00,07/16/2000,15.0,0.0225
219,07/16/2000 22:30:00,07/17/2000 04:50:00,07/16/2000,380.0,5.1575
220,07/17/2000 07:00:00,07/17/2000 08:55:00,07/17/2000,115.0,1.2974999999999999
221,07/17/2000 22:50:00,07/18/2000 11:20:00,07/17/2000,750.0,11.127500000000001
222,07/18/2000 22:15:00,07/18/2000 23:20:00,07/18/2000,65.0,0.525
223,07/19/2000 01:30:00,07/19/2000 03:25:00,07/19/2000,115.0,3.1900000000000004
224,07/19/2000 07:10:00,07/19/2000 18:15:00,07/19/2000,665.0,1.0875000000000001
225,07/20/2000 07:45:00,07/20/2000 17:30:00,07/20/2000,585.0,10.1875
226,07/20/2000 20:35:00,07/21/2000 00:20:00,07/20/2000,225.0,0.7125
227,07/21/2000 03:10:00,07/21/2000 03:35:00,07/21/2000,25.0,0.15750000000000003
228,07/21/2000 23:00:00,07/22/2000 00:45:00,07/21/2000,105.0,2.8675
229,07/22/2000 05:55:00,07/22/2000 08:30:00,07/22/2000,155.0,6.3825
230,07/22/2000 16:50:00,07/22/2000 17:45:00,07/22/2000,55.0,0.21750000000000003
231,07/22/2000 20:15:00,07/22/2000 21:05:00,07/22/2000,50.0,1.0225
232,07/23/2000 04:05:00,07/23/2000 04:20:00,07/23/2000,15.0,0.0575
233,07/23/2000 11:00:00,07/23/2000 19:10:00,07/23/2000,490.0,2.1425
234,07/24/2000 17:20:00,07/24/2000 17:25:00,07/24/2000,5.0,0.0175
235,07/25/2000 01:40:00,07/25/2000 11:10:00,07/25/2000,570.0,8.207500000000001
236,07/25/2000 14:55:00,07/25/2000 16:15:00,07/25/2000,80.0,0.775
237,07/26/2000 09:05:00,07/26/2000 23:55:00,07/26/2000,890.0,17.66
238,07/27/2000 14:40:00,07/28/2000 02:55:00,07/27/2000,735.0,9.8275
239,07/29/2000 08:30:00,07/29/2000 17:45:00,07/29/2000,555.0,6.4775
240,07/30/2000 01:45:00,07/30/2000 05:40:00,07/30/2000,235.0,0.545
241,07/30/2000 11:35:00,07/30/2000 20:50:00,07/30/2000,555.0,2.29
242,07/31/2000 08:10:00,07/31/2000 10:50:00,07/31/2000,160.0,0.375
243,07/31/2000 21:40:00,07/31/2000 21:40:00,07/31/2000,0.0,0.0075
244,08/01/2000 00:00:00,08/01/2000 00:25:00,08/01/2000,25.0,0.0525
245,08/01/2000 03:10:00,08/01/2000 03:10:00,08/01/2000,0.0,0.01
246,08/01/2000 08:25:00,08/01/2000 15:55:00,08/01/2000,450.0,1.5475
247,08/03/2000 07:50:00,08/03/2000 07:50:00,08/03/2000,0.0,0.0075
248,08/14/2000 18:50:00,08/15/2000 00:15:00,08/14/2000,325.0,0.96
249,08/15/2000 06:30:00,08/15/2000 07:20:00,08/15/2000,50.0,0.5525
250,08/15/2000 14:50:00,08/15/2000 15:15:00,08/15/2000,25.0,0.1925
251,08/18/2000 19:35:00,08/18/2000 21:50:00,08/18/2000,135.0,0.45499999999999996
252,08/19/2000 11:55:00,08/19/2000 15:30:00,08/19/2000,215.0,19.1025
253,08/19/2000 17:55:00,08/19/2000 18:40:00,08/19/2000,45.0,2.4225000000000003
254,08/22/2000 00:05:00,08/22/2000 00:25:00,08/22/2000,20.0,0.15250000000000002
255,08/25/2000 17:05:00,08/25/2000 18:30:00,08/25/2000,85.0,18.5775
256,08/26/2000 20:25:00,08/26/2000 20:40:00,08/26/2000,15.0,0.05
257,08/27/2000 10:25:00,08/27/2000 13:50:00,08/27/2000,205.0,1.1400000000000001
258,09/04/2000 14:05:00,09/04/2000 17:05:00,09/04/2000,180.0,5.835
