,Start,End,Precipitation,Duration,Date
111,04/19/2000 17:10:00,04/19/2000 18:20:00,1.0075,70,04/19/2000
112,04/20/2000 10:10:00,04/20/2000 13:55:00,7.1925,225,04/20/2000
113,04/20/2000 16:25:00,04/20/2000 21:05:00,1.0525,280,04/20/2000
114,04/21/2000 19:15:00,04/21/2000 23:45:00,2.5175,270,04/21/2000
115,04/22/2000 08:40:00,04/23/2000 06:40:00,7.49,1320,04/22/2000
116,04/23/2000 12:00:00,04/23/2000 13:25:00,0.125,85,04/23/2000
117,04/23/2000 22:45:00,04/24/2000 00:30:00,0.015,105,04/23/2000
118,04/25/2000 09:10:00,04/25/2000 09:15:00,0.0075,5,04/25/2000
119,04/28/2000 16:35:00,04/28/2000 17:05:00,0.1925,30,04/28/2000
120,04/29/2000 08:00:00,04/29/2000 08:15:00,0.0275,15,04/29/2000
121,04/29/2000 17:35:00,04/30/2000 03:00:00,1.64,565,04/29/2000
122,04/30/2000 06:45:00,04/30/2000 21:15:00,4.0475,870,04/30/2000
123,05/01/2000 00:30:00,05/01/2000 10:30:00,1.4925,600,05/01/2000
124,05/03/2000 13:35:00,05/03/2000 21:05:00,1.3675,450,05/03/2000
125,05/04/2000 19:30:00,05/04/2000 19:40:00,0.0475,10,05/04/2000
126,05/05/2000 08:15:00,05/05/2000 08:20:00,0.0075,5,05/05/2000
127,05/05/2000 11:25:00,05/05/2000 11:55:00,0.0925,30,05/05/2000
128,05/05/2000 16:40:00,05/05/2000 17:00:00,0.255,20,05/05/2000
129,05/06/2000 10:10:00,05/06/2000 17:10:00,0.845,420,05/06/2000
130,05/06/2000 19:20:00,05/06/2000 19:50:00,0.0175,30,05/06/2000
131,05/08/2000 09:00:00,05/08/2000 21:10:00,15.2075,730,05/08/2000
132,05/08/2000 23:20:00,05/09/2000 22:10:00,4.1125,1370,05/08/2000
133,05/10/2000 11:05:00,05/11/2000 03:50:00,9.12,1005,05/10/2000
134,05/11/2000 10:30:00,05/11/2000 11:40:00,0.175,70,05/11/2000
135,05/11/2000 14:25:00,05/11/2000 20:35:00,0.3,370,05/11/2000
136,05/24/2000 11:25:00,05/24/2000 15:35:00,0.4825,250,05/24/2000
137,05/24/2000 19:10:00,05/24/2000 20:20:00,0.165,70,05/24/2000
138,05/24/2000 23:50:00,05/25/2000 04:15:00,2.175,265,05/24/2000
139,05/25/2000 06:50:00,05/25/2000 12:30:00,0.565,340,05/25/2000
140,05/25/2000 22:45:00,05/26/2000 06:15:00,4.2425,450,05/25/2000
141,05/26/2000 08:50:00,05/26/2000 10:05:00,0.035,75,05/26/2000
142,05/26/2000 21:25:00,05/27/2000 00:00:00,0.15,155,05/26/2000
143,05/27/2000 04:30:00,05/27/2000 04:50:00,0.31,20,05/27/2000
144,05/27/2000 07:05:00,05/27/2000 07:10:00,0.01,5,05/27/2000
145,05/27/2000 09:15:00,05/27/2000 10:00:00,0.975,45,05/27/2000
146,05/27/2000 16:05:00,05/27/2000 18:40:00,0.6675,155,05/27/2000
147,05/28/2000 15:20:00,05/28/2000 18:10:00,0.6975,170,05/28/2000
148,05/29/2000 05:45:00,05/29/2000 09:55:00,0.4,250,05/29/2000
149,05/29/2000 14:00:00,05/29/2000 18:00:00,1.0125,240,05/29/2000
150,05/30/2000 03:55:00,05/30/2000 08:05:00,6.0675,250,05/30/2000
151,05/30/2000 19:30:00,05/30/2000 23:50:00,12.61,260,05/30/2000
152,05/31/2000 02:05:00,05/31/2000 05:20:00,0.7925,195,05/31/2000
153,05/31/2000 08:35:00,05/31/2000 16:40:00,1.955,485,05/31/2000
154,05/31/2000 18:40:00,05/31/2000 20:50:00,1.4325,130,05/31/2000
155,06/01/2000 00:20:00,06/01/2000 00:30:00,0.025,10,06/01/2000
156,06/01/2000 05:55:00,06/01/2000 09:05:00,0.3675,190,06/01/2000
157,06/01/2000 12:40:00,06/01/2000 15:15:00,2.3725,155,06/01/2000
158,06/02/2000 04:05:00,06/02/2000 04:15:00,0.01,10,06/02/2000
159,06/02/2000 11:00:00,06/02/2000 13:15:00,0.8325,135,06/02/2000
160,06/03/2000 05:10:00,06/03/2000 05:45:00,2.25,35,06/03/2000
161,06/03/2000 19:30:00,06/03/2000 20:35:00,0.065,65,06/03/2000
162,06/04/2000 15:45:00,06/04/2000 16:45:00,0.0975,60,06/04/2000
163,06/05/2000 14:55:00,06/05/2000 15:00:00,0.0125,5,06/05/2000
164,06/08/2000 17:20:00,06/08/2000 21:20:00,1.655,240,06/08/2000
165,06/11/2000 21:55:00,06/12/2000 07:05:00,2.985,550,06/11/2000
166,06/12/2000 10:15:00,06/12/2000 12:45:00,0.7825,150,06/12/2000
167,06/13/2000 06:25:00,06/13/2000 10:00:00,0.2625,215,06/13/2000
168,06/13/2000 20:25:00,06/14/2000 06:35:00,6.9375,610,06/13/2000
169,06/14/2000 17:45:00,06/14/2000 20:20:00,0.3475,155,06/14/2000
170,06/15/2000 20:30:00,06/15/2000 22:55:00,1.31,145,06/15/2000
171,06/16/2000 01:35:00,06/16/2000 06:55:00,2.055,320,06/16/2000
172,06/16/2000 09:00:00,06/16/2000 11:05:00,1.82,125,06/16/2000
173,06/17/2000 08:05:00,06/17/2000 08:50:00,0.3025,45,06/17/2000
174,06/17/2000 11:25:00,06/17/2000 11:55:00,0.115,30,06/17/2000
175,06/17/2000 15:05:00,06/17/2000 15:50:00,0.2875,45,06/17/2000
176,06/21/2000 21:00:00,06/22/2000 01:35:00,2.485,275,06/21/2000
177,06/24/2000 06:20:00,06/24/2000 06:55:00,0.0225,35,06/24/2000
178,06/25/2000 18:20:00,06/26/2000 02:25:00,22.415,485,06/25/2000
179,06/26/2000 07:15:00,06/26/2000 15:05:00,1.05,470,06/26/2000
180,06/26/2000 20:25:00,06/26/2000 22:20:00,0.435,115,06/26/2000
181,06/29/2000 12:05:00,06/30/2000 02:40:00,5.18,875,06/29/2000
182,06/30/2000 09:45:00,06/30/2000 19:40:00,6.7075,595,06/30/2000
183,07/01/2000 12:30:00,07/01/2000 21:40:00,4.795,550,07/01/2000
184,07/02/2000 03:55:00,07/02/2000 05:05:00,0.88,70,07/02/2000
185,07/09/2000 17:20:00,07/09/2000 23:30:00,2.9925,370,07/09/2000
186,07/12/2000 19:25:00,07/12/2000 19:50:00,0.03,25,07/12/2000
187,07/13/2000 12:05:00,07/13/2000 14:10:00,1.0625,125,07/13/2000
188,07/13/2000 18:15:00,07/13/2000 20:00:00,2.5975,105,07/13/2000
189,07/14/2000 06:50:00,07/14/2000 12:05:00,0.78,315,07/14/2000
190,07/16/2000 00:00:00,07/16/2000 00:15:00,0.1125,15,07/16/2000
191,07/16/2000 03:05:00,07/16/2000 03:20:00,0.01,15,07/16/2000
192,07/16/2000 22:30:00,07/17/2000 04:50:00,5.1425,380,07/16/2000
193,07/17/2000 07:00:00,07/17/2000 08:55:00,1.29,115,07/17/2000
194,07/17/2000 22:50:00,07/18/2000 11:20:00,11.12,750,07/17/2000
195,07/18/2000 22:15:00,07/18/2000 23:20:00,0.5175,65,07/18/2000
196,07/19/2000 01:30:00,07/19/2000 03:25:00,3.175,115,07/19/2000
197,07/19/2000 07:10:00,07/19/2000 18:15:00,1.065,665,07/19/2000
198,07/20/2000 07:45:00,07/20/2000 17:30:00,10.1775,585,07/20/2000
199,07/20/2000 20:35:00,07/21/2000 00:20:00,0.6875,225,07/20/2000
200,07/21/2000 03:10:00,07/21/2000 03:35:00,0.11,25,07/21/2000
201,07/21/2000 23:00:00,07/22/2000 00:45:00,2.8125,105,07/21/2000
202,07/22/2000 05:55:00,07/22/2000 08:30:00,6.375,155,07/22/2000
203,07/22/2000 16:50:00,07/22/2000 17:45:00,0.1375,55,07/22/2000
204,07/22/2000 20:15:00,07/22/2000 21:05:00,1.0075,50,07/22/2000
205,07/23/2000 04:05:00,07/23/2000 04:20:00,0.05,15,07/23/2000
206,07/23/2000 11:00:00,07/23/2000 19:10:00,2.105,490,07/23/2000
207,07/24/2000 17:20:00,07/24/2000 17:25:00,0.005,5,07/24/2000
208,07/25/2000 01:40:00,07/25/2000 11:10:00,8.2,570,07/25/2000
209,07/25/2000 14:55:00,07/25/2000 16:15:00,0.7425,80,07/25/2000
210,07/26/2000 09:05:00,07/26/2000 23:55:00,17.65,890,07/26/2000
211,07/27/2000 14:40:00,07/28/2000 02:55:00,9.8175,735,07/27/2000
212,07/29/2000 08:30:00,07/29/2000 11:00:00,5.245,150,07/29/2000
213,07/29/2000 13:00:00,07/29/2000 17:45:00,1.2175,285,07/29/2000
214,07/30/2000 01:45:00,07/30/2000 05:40:00,0.5375,235,07/30/2000
215,07/30/2000 11:35:00,07/30/2000 20:50:00,2.2775,555,07/30/2000
216,07/31/2000 08:10:00,07/31/2000 10:50:00,0.3675,160,07/31/2000
217,08/01/2000 00:00:00,08/01/2000 00:25:00,0.0375,25,08/01/2000
218,08/01/2000 08:25:00,08/01/2000 15:55:00,1.54,450,08/01/2000
219,08/14/2000 18:50:00,08/15/2000 00:15:00,0.9425,325,08/14/2000
220,08/15/2000 06:30:00,08/15/2000 07:20:00,0.5125,50,08/15/2000
221,08/15/2000 14:50:00,08/15/2000 15:15:00,0.165,25,08/15/2000
222,08/18/2000 19:35:00,08/18/2000 21:50:00,0.4475,135,08/18/2000
223,08/19/2000 11:55:00,08/19/2000 15:30:00,19.065,215,08/19/2000
224,08/19/2000 17:55:00,08/19/2000 18:40:00,2.415,45,08/19/2000
225,08/22/2000 00:05:00,08/22/2000 00:25:00,0.1375,20,08/22/2000
226,08/25/2000 17:05:00,08/25/2000 18:30:00,18.57,85,08/25/2000
227,08/26/2000 20:25:00,08/26/2000 20:40:00,0.0425,15,08/26/2000
228,08/27/2000 10:25:00,08/27/2000 13:50:00,1.1325,205,08/27/2000
229,09/04/2000 14:05:00,09/04/2000 17:05:00,5.8225,180,09/04/2000
230,09/05/2000 05:55:00,09/05/2000 06:20:00,0.0475,25,09/05/2000
231,09/05/2000 17:15:00,09/05/2000 17:50:00,0.2025,35,09/05/2000
232,09/06/2000 02:20:00,09/06/2000 03:45:00,0.3625,85,09/06/2000
233,09/06/2000 19:45:00,09/06/2000 20:30:00,1.35,45,09/06/2000
234,09/07/2000 03:05:00,09/07/2000 03:50:00,0.97,45,09/07/2000
235,09/08/2000 05:45:00,09/08/2000 05:50:00,0.005,5,09/08/2000
236,09/08/2000 14:55:00,09/08/2000 15:05:00,0.035,10,09/08/2000
237,09/10/2000 02:55:00,09/10/2000 03:20:00,0.025,25,09/10/2000
238,09/21/2000 13:00:00,09/21/2000 14:40:00,0.4925,100,09/21/2000
239,09/26/2000 23:40:00,09/27/2000 02:40:00,2.925,180,09/26/2000
240,09/27/2000 05:30:00,09/27/2000 05:45:00,0.0675,15,09/27/2000
241,09/27/2000 13:10:00,09/27/2000 16:45:00,3.4475,215,09/27/2000
242,09/27/2000 20:20:00,09/27/2000 22:30:00,1.9275,130,09/27/2000
243,09/29/2000 13:45:00,09/29/2000 14:35:00,0.29,50,09/29/2000
244,09/29/2000 17:10:00,09/29/2000 19:40:00,6.9425,150,09/29/2000
245,10/01/2000 06:20:00,10/01/2000 07:30:00,0.41,70,10/01/2000
246,10/01/2000 09:50:00,10/01/2000 12:55:00,0.555,185,10/01/2000
247,10/01/2000 16:35:00,10/01/2000 19:35:00,7.1925,180,10/01/2000
248,10/02/2000 02:40:00,10/02/2000 03:35:00,0.235,55,10/02/2000
249,10/02/2000 07:55:00,10/02/2000 09:20:00,0.5325,85,10/02/2000
250,10/02/2000 11:50:00,10/02/2000 19:40:00,6.86,470,10/02/2000
251,10/03/2000 01:25:00,10/03/2000 04:10:00,0.085,165,10/03/2000
