,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year,Intensity
113,04/20/2000 16:25:00,04/20/2000 21:05:00,4.21,04/20/2000,56,,280,1.0525,0,2.706428571
114,04/21/2000 19:15:00,04/21/2000 23:45:00,10.07,04/21/2000,54,,270,2.5175,0,6.713333333
115,04/22/2000 08:40:00,04/23/2000 06:40:00,29.96,04/22/2000,264,,1320,7.49,0,4.085454545
116,04/23/2000 12:00:00,04/23/2000 13:25:00,0.5,04/23/2000,17,,85,0.125,0,1.058823529
117,04/23/2000 22:45:00,04/24/2000 00:30:00,0.06,04/23/2000,21,,105,0.015,0,0.102857143
118,04/25/2000 09:10:00,04/25/2000 09:15:00,0.03,04/25/2000,1,,5,0.0075,0,1.08
119,04/28/2000 16:35:00,04/28/2000 17:05:00,0.77,04/28/2000,6,,30,0.1925,0,4.62
120,04/29/2000 08:00:00,04/29/2000 08:15:00,0.11,04/29/2000,3,,15,0.0275,0,1.32
121,04/29/2000 17:35:00,04/30/2000 03:00:00,6.56,04/29/2000,113,,565,1.64,0,2.089911504
122,04/30/2000 06:45:00,04/30/2000 21:15:00,16.19,04/30/2000,174,,870,4.0475,0,3.349655172
123,05/01/2000 00:30:00,05/01/2000 10:30:00,5.97,05/01/2000,120,,600,1.4925,0,1.791
124,05/03/2000 13:35:00,05/03/2000 21:05:00,5.47,05/03/2000,90,,450,1.3675,0,2.188
125,05/04/2000 19:30:00,05/04/2000 19:40:00,0.19,05/04/2000,2,,10,0.0475,0,3.42
126,05/05/2000 08:15:00,05/05/2000 08:20:00,0.03,05/05/2000,1,,5,0.0075,0,1.08
127,05/05/2000 11:25:00,05/05/2000 11:55:00,0.37,05/05/2000,6,,30,0.0925,0,2.22
128,05/05/2000 16:40:00,05/05/2000 17:00:00,1.02,05/05/2000,4,,20,0.255,0,9.18
129,05/06/2000 10:10:00,05/06/2000 17:10:00,3.38,05/06/2000,84,,420,0.845,0,1.448571429
130,05/06/2000 19:20:00,05/06/2000 19:50:00,0.07,05/06/2000,6,,30,0.0175,0,0.42
131,05/08/2000 09:00:00,05/08/2000 21:10:00,60.83,05/08/2000,146,,730,15.2075,0,14.99917808
132,05/08/2000 23:20:00,05/09/2000 22:10:00,16.45,05/08/2000,274,,1370,4.1125,0,2.161313869
133,05/10/2000 11:05:00,05/11/2000 03:50:00,36.48,05/10/2000,201,,1005,9.12,0,6.533731343
134,05/11/2000 10:30:00,05/11/2000 11:40:00,0.7,05/11/2000,14,,70,0.175,0,1.8
135,05/11/2000 14:25:00,05/11/2000 20:35:00,1.2,05/11/2000,74,,370,0.3,0,0.583783784
136,05/24/2000 11:25:00,05/24/2000 15:35:00,1.93,05/24/2000,50,,250,0.4825,0,1.3896
137,05/24/2000 19:10:00,05/24/2000 20:20:00,0.66,05/24/2000,14,,70,0.165,0,1.697142857
138,05/24/2000 23:50:00,05/25/2000 04:15:00,8.7,05/24/2000,53,,265,2.175,0,5.909433962
139,05/25/2000 06:50:00,05/25/2000 12:30:00,2.26,05/25/2000,68,,340,0.565,0,1.196470588
140,05/25/2000 22:45:00,05/26/2000 06:15:00,16.97,05/25/2000,90,,450,4.2425,0,6.788
141,05/26/2000 08:50:00,05/26/2000 10:05:00,0.14,05/26/2000,15,,75,0.035,0,0.336
142,05/26/2000 21:25:00,05/27/2000 00:00:00,0.6,05/26/2000,31,,155,0.15,0,0.696774194
143,05/27/2000 04:30:00,05/27/2000 04:50:00,1.24,05/27/2000,4,,20,0.31,0,11.16
144,05/27/2000 07:05:00,05/27/2000 07:10:00,0.04,05/27/2000,1,,5,0.01,0,1.44
145,05/27/2000 09:15:00,05/27/2000 10:00:00,3.9,05/27/2000,9,,45,0.975,0,15.6
146,05/27/2000 16:05:00,05/27/2000 18:40:00,2.67,05/27/2000,31,,155,0.6675,0,3.100645161
147,05/28/2000 15:20:00,05/28/2000 18:10:00,2.79,05/28/2000,34,,170,0.6975,0,2.954117647
148,05/29/2000 05:45:00,05/29/2000 09:55:00,1.6,05/29/2000,50,,250,0.4,0,1.152
149,05/29/2000 14:00:00,05/29/2000 18:00:00,4.05,05/29/2000,48,,240,1.0125,0,3.0375
150,05/30/2000 03:55:00,05/30/2000 08:05:00,24.27,05/30/2000,50,,250,6.0675,0,17.4744
151,05/30/2000 19:30:00,05/30/2000 23:50:00,50.44,05/30/2000,52,,260,12.61,0,34.92
152,05/31/2000 02:05:00,05/31/2000 05:20:00,3.17,05/31/2000,39,,195,0.7925,0,2.926153846
153,05/31/2000 08:35:00,05/31/2000 16:40:00,7.82,05/31/2000,97,,485,1.955,0,2.902268041
154,05/31/2000 18:40:00,05/31/2000 20:50:00,5.73,05/31/2000,26,,130,1.4325,0,7.933846154
155,06/01/2000 00:20:00,06/01/2000 00:30:00,0.1,06/01/2000,2,,10,0.025,0,1.8
156,06/01/2000 05:55:00,06/01/2000 09:05:00,1.47,06/01/2000,38,,190,0.3675,0,1.392631579
157,06/01/2000 12:40:00,06/01/2000 15:15:00,9.49,06/01/2000,31,,155,2.3725,0,11.02064516
158,06/02/2000 04:05:00,06/02/2000 04:15:00,0.04,06/02/2000,2,,10,0.01,0,0.72
159,06/02/2000 11:00:00,06/02/2000 13:15:00,3.33,06/02/2000,27,,135,0.8325,0,4.44
160,06/03/2000 05:10:00,06/03/2000 05:45:00,9,06/03/2000,7,,35,2.25,0,46.28571429
161,06/03/2000 19:30:00,06/03/2000 20:35:00,0.26,06/03/2000,13,,65,0.065,0,0.72
162,06/04/2000 15:45:00,06/04/2000 16:45:00,0.39,06/04/2000,12,,60,0.0975,0,1.17
163,06/05/2000 14:55:00,06/05/2000 15:00:00,0.05,06/05/2000,1,,5,0.0125,0,1.8
164,06/08/2000 17:20:00,06/08/2000 21:20:00,6.62,06/08/2000,48,,240,1.655,0,4.965
165,06/11/2000 21:55:00,06/12/2000 07:05:00,11.94,06/11/2000,110,,550,2.985,0,3.907636364
166,06/12/2000 10:15:00,06/12/2000 12:45:00,3.13,06/12/2000,30,,150,0.7825,0,3.756
167,06/13/2000 06:25:00,06/13/2000 10:00:00,1.05,06/13/2000,43,,215,0.2625,0,0.879069767
168,06/13/2000 20:25:00,06/14/2000 06:35:00,27.75,06/13/2000,122,,610,6.9375,0,8.18852459
169,06/14/2000 17:45:00,06/14/2000 20:20:00,1.39,06/14/2000,31,,155,0.3475,0,1.614193548
170,06/15/2000 20:30:00,06/15/2000 22:55:00,5.24,06/15/2000,29,,145,1.31,0,6.504827586
171,06/16/2000 01:35:00,06/16/2000 06:55:00,8.22,06/16/2000,64,,320,2.055,0,4.62375
172,06/16/2000 09:00:00,06/16/2000 11:05:00,7.28,06/16/2000,25,,125,1.82,0,10.4832
173,06/17/2000 08:05:00,06/17/2000 08:50:00,1.21,06/17/2000,9,,45,0.3025,0,4.84
174,06/17/2000 11:25:00,06/17/2000 11:55:00,0.46,06/17/2000,6,,30,0.115,0,2.76
175,06/17/2000 15:05:00,06/17/2000 15:50:00,1.15,06/17/2000,9,,45,0.2875,0,4.6
176,06/21/2000 21:00:00,06/22/2000 01:35:00,9.94,06/21/2000,55,,275,2.485,0,6.506181818
177,06/24/2000 06:20:00,06/24/2000 06:55:00,0.09,06/24/2000,7,,35,0.0225,0,0.462857143
178,06/25/2000 18:20:00,06/26/2000 02:25:00,89.66,06/25/2000,97,,485,22.415,0,33.27587629
179,06/26/2000 07:15:00,06/26/2000 15:05:00,4.2,06/26/2000,94,,470,1.05,0,1.608510638
180,06/26/2000 20:25:00,06/26/2000 22:20:00,1.74,06/26/2000,23,,115,0.435,0,2.723478261
181,06/29/2000 12:05:00,06/30/2000 02:40:00,20.72,06/29/2000,175,,875,5.18,0,4.2624
182,06/30/2000 09:45:00,06/30/2000 19:40:00,26.83,06/30/2000,119,,595,6.7075,0,8.116638655
183,07/01/2000 12:30:00,07/01/2000 21:40:00,19.18,07/01/2000,110,,550,4.795,0,6.277090909
